top - 12:19:14 up 8 days, 49 min,  1 user,  load average: 2.24, 2.37, 2.59
Tasks: 508 total,   1 running, 505 sleeping,   0 stopped,   2 zombie
%Cpu(s): 22.6 us, 12.8 sy,  0.0 ni, 58.5 id,  5.5 wa,  0.0 hi,  0.6 si,  0.0 st
MiB Mem :  15889.4 total,    190.1 free,  13454.5 used,   2244.8 buff/cache
MiB Swap:   2048.0 total,      0.0 free,   2048.0 used.    835.0 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    929 root      20   0   48852    572      0 S   0.0   0.0   0:05.67 sssd
    930 root      20   0  235604    304      0 S   0.0   0.0   0:00.01 switche+
    931 root      20   0  126268    624      0 S   0.0   0.0   0:26.81 thermald
    932 root      20   0  402312   3172    540 S   0.0   0.0   0:53.27 udisksd
    933 root      20   0   14444   2556   1460 S   0.0   0.0  10:25.96 wpa_sup+
    937 avahi     20   0   18560     40      0 S   0.0   0.0   0:00.00 avahi-d+
    967 root      20   0  784756   5264      0 S   0.0   0.0   1:18.73 PanGPS
    988 root      20   0   24164   1356    608 S   0.0   0.0   0:00.15 certmon+
    991 jenkins   20   0 7911972   3.0g      0 S   0.0  19.3  11:11.13 java
    998 root      20   0   40884    308      0 S   0.0   0.0   0:00.00 oddjobd
   1006 root      20   0  241528   1416      0 S   0.0   0.0   0:01.52 ModemMa+
   1042 root      20   0 1496272  11936      0 S   0.0   0.1   8:47.89 contain+
   1054 _chrony   20   0   13024   1012    732 S   0.0   0.0   0:03.86 chronyd
   1055 root      20   0   12188    528      0 S   0.0   0.0   0:00.01 sshd
   1056 _chrony   20   0    4864    172      0 S   0.0   0.0   0:00.03 chronyd
   1123 root      20   0    6540   1064     76 S   0.0   0.0   0:15.31 apache2
   1125 root      20   0   37976   1256    652 S   0.0   0.0   0:03.31 sssd_pam
   1128 root      20   0   37580    532      0 S   0.0   0.0   0:03.15 sssd_ssh
   1140 root      20   0   37600    264      0 S   0.0   0.0   0:03.11 sssd_su+
   1158 root      20   0   77980    560      0 S   0.0   0.0   0:03.10 sssd_pac
   1202 root      20   0  247048    972      0 S   0.0   0.0   0:11.98 account+
   1203 root      20   0    9424    680    472 S   0.0   0.0   0:00.76 cron
   1206 root      20   0   25996   1872   1232 S   0.0   0.0   0:08.81 systemd+
   1214 root      20   0  360856   5648    228 S   0.0   0.0   0:27.90 anydesk
   1228 root      20   0  239616    872      0 S   0.0   0.0   0:00.19 gdm3
   1262 colord    20   0  328760   2592      0 S   0.0   0.0   0:01.20 colord
   1304 root      20   0  118144   2276      0 S   0.0   0.0   0:00.09 unatten+
   1355 rtkit     21   1  152936    216      0 S   0.0   0.0   0:03.44 rtkit-d+
   1478 root      20   0  252508   1456      0 S   0.0   0.0   0:34.98 upowerd
   1648 geoclue   20   0  902888   9324   2728 S   0.0   0.1  24:45.78 geoclue
   1786 root      20   0 1842476  31400   3080 S   0.0   0.2   4:42.83 dockerd
   1789 kernoops  20   0   11264    280      0 S   0.0   0.0   0:35.10 kernelo+
   1793 kernoops  20   0   11264    516    192 S   0.0   0.0   0:35.05 kernelo+
   2272 root      20   0  339836   3736   1640 S   0.0   0.0   0:00.56 gdm-ses+
   2279 mohit.k+  20   0   20076   3716   1896 S   0.0   0.0   0:10.92 systemd
   2281 mohit.k+  20   0  194956    888      0 S   0.0   0.0   0:00.00 (sd-pam)
   2286 mohit.k+   9 -11 3917944   7156   2980 S   0.0   0.0  74:32.76 pulseau+
   2288 mohit.k+  39  19  879220  11752      0 S   0.0   0.1   0:06.22 tracker+
   2291 mohit.k+  20   0   28264   2948     88 S   0.0   0.0   1:34.17 dbus-da+
   2296 mohit.k+  20   0  388184   1424      0 S   0.0   0.0   0:11.18 gnome-k+
   2311 mohit.k+  20   0  239812   1268    600 S   0.0   0.0   0:02.68 gvfsd
   2316 mohit.k+  20   0  378348     88      0 S   0.0   0.0   0:00.01 gvfsd-f+
   2323 mohit.k+  20   0  396316   1572      0 S   0.0   0.0   0:29.82 gvfs-ud+
   2330 mohit.k+  20   0  316728    576      0 S   0.0   0.0   0:11.20 gvfs-af+
   2335 mohit.k+  20   0  236500    752      0 S   0.0   0.0   0:00.22 gvfs-go+
   2339 mohit.k+  20   0  777864  39360   1400 S   0.0   0.2   3:54.23 goa-dae+
   2347 mohit.k+  20   0  314240   1996    904 S   0.0   0.0   3:34.18 goa-ide+
   2352 mohit.k+  20   0  239900    480    300 S   0.0   0.0   0:00.01 gnome-k+
   2359 mohit.k+  20   0  238112    540      0 S   0.0   0.0   0:00.23 gvfs-gp+
   2364 mohit.k+  20   0  235704    556      0 S   0.0   0.0   0:00.23 gvfs-mt+
   2371 root      10 -10       0      0      0 S   0.0   0.0   0:00.00 krfcommd
   2373 mohit.k+  20   0  164020    272      0 S   0.0   0.0   0:00.01 gdm-x-s+
   2375 mohit.k+  20   0  600248  65724  17032 S   0.0   0.4 126:22.38 Xorg
   2393 mohit.k+  20   0  188088      0      0 S   0.0   0.0   0:00.05 gnome-s+
   2397 mohit.k+  20   0  407508     40      0 S   0.0   0.0   1:26.91 PanGPA
   2469 mohit.k+  20   0    6044     36      0 S   0.0   0.0   0:01.25 ssh-age+
   2487 mohit.k+  20   0  305432    252      0 S   0.0   0.0   0:00.02 at-spi-+
   2492 mohit.k+  20   0   25864    516      0 S   0.0   0.0   0:09.11 dbus-da+
   2500 mohit.k+  20   0   90064      0      0 S   0.0   0.0   0:00.00 gnome-s+
   2505 mohit.k+  20   0  492832   1512      0 S   0.0   0.0   0:05.99 gnome-s+
   2522 mohit.k+  20   0 4868068 231096  13424 S   0.0   1.4 246:42.62 gnome-s+
   2602 mohit.k+  20   0  393272   1248      0 S   0.0   0.0   0:08.06 ibus-da+
   2606 mohit.k+  20   0  162708    280      0 S   0.0   0.0   0:00.01 ibus-me+
   2607 mohit.k+  20   0  272736   2184      0 S   0.0   0.0   0:05.79 ibus-ex+
